zoom,max_lat,max_lon
14,0.013070000000006132,0.028515000000000013
10.7,0.09041400000000266,0.27057099999999995
12.7,0.04083199999999465,0.05255399999999999
15,0.008021999999996865,0.006389000000000006
11.4,0.12217099999999448,0.147724
9.2,0.30415299999999945,0.8813439999999999
6.8,2.7463130000000007,3.353795
13.2,0.0308949999999939,0.04545100000000013
6.6,2.6540370000000024,5.045306
8.5,0.5661409999999947,1.381977
7,2.3861150000000038,3.501555
11.8,0.07712500000000233,0.13659199999999982
6.1,4.245673999999994,6.192912000000001
10.6,0.16638099999999412,0.33073300000000005
8.6,0.7516449999999963,1.381411
8.3,0.6687690000000046,1.7323519999999997
13.5,0.02632800000000657,0.02632800000000657

